"","Stylish","Wholesome","Adventurous","Energetic","Happy","Upbeat","Fun","Reliable","Inspiring","Down-to-earth","Unique","Depressing","Tough","Conventional","Tense","Sophisticated","Intense","Rebellious","Amusing","Warm","Aggressive","Sensual","Peaceful","Romantic","Imaginative","Charming","Passionate","Dreamy","Intelligent"
"Nike",0.136434352229289,0.010717464124785,0.104278137507808,0.160158370106491,0.00773868002984496,0.0673376018655254,0.0810298165860669,0.108114727608117,0.0357479657712787,0.0426906265291985,0.0186856043096436,0.000723135902626166,0.0427902386380318,0.0604605372103951,0.00109699573171205,0.00392896552921766,0.0293086734562953,0.0155463622032889,0.00821608797515307,2.8041766892153e-05,0.0356538610584105,0.00020167631847186,0.00483170580031626,0.00165339220713504,0.0036407602124072,0.00145463586738513,0.0153815622865035,0.00160701398510763,0.000543007182602539
"Adidas",0.109802364046804,0.0343102276149587,0.0877441033298889,0.122127244232798,0.0241578817151593,0.0788425143912671,0.0874257644285364,0.110649835318994,0.0541747603703844,0.0368722258759434,0.0155161067385119,0.00326142596621647,0.0561367203103199,0.0224260106356384,0.00475234872454832,0.00080000625697082,0.0434839089767196,0.0161978326947297,0.0113114673315244,0.00510849959652525,0.025996716168421,0.000187202888776429,0.000416316264298084,0.00439921380285061,0.00378709106733699,0.00162190920464579,0.0109985042625514,0.00506672503302027,0.0224250727516604
"Maybelline",0.103373698274415,0.0731766201327717,0.0317454239198998,0.0331617448347374,0.0438894530845631,0.0434383620101781,0.0714937188573485,0.121290248288678,0.00102162415885428,0.0703687130058056,0.0335465153547135,0.00393869392655962,0.00492410765843004,0.0711938126943409,0.00420810913092257,0.0632163259527034,0.0504898277383633,0.034381852941059,0.00189903400926757,0.0132311735106372,0.0132699354427688,0.0323994394592207,0.0002525945969509,0.0297341273876054,0.000242436828398914,0.0308908361286861,0.00389216535066736,0.0113909813690685,0.00393842395238495
"Clinique",0.0961251286862441,0.0660766502307404,0.00283418856009079,0.0108624486176813,0.0497145700455255,0.0385480383760639,0.0321744294244529,0.106912795349423,0.0129219886399526,0.0574606683761413,0.105401105983463,0.00369364206224396,0.0121126682415944,0.113509929430524,0.0011371634958353,0.103793895711226,0.0109273942954958,0.00102775648638993,0.0137563106899375,0.028630176724044,0.000548206936743831,0.0318368420741982,0.02306927445564,0.0212231288230417,0.00167272210370709,0.000527363308882703,0.0120595511787951,0.00140563032832538,0.0400363313635956
"Red Bull",0.00687692260450429,0.000205320743673498,0.0712573345853346,0.212680088477753,0.0262301268878877,0.104265423774478,0.0586148259628222,0.040848825462129,0.0285786183647649,0.0138285245032263,0.0404768607446407,0.00686529026970441,0.02034071497326,0.0285227341813862,0.00274669150118796,0.0131857714551318,0.135297677777975,0.0269250906349969,0.0218971550495063,0.0075929454491012,0.0585631967418621,0.00707783583998194,0.00809215417667589,0.0143962676754064,0.00170648869458193,0.00690605792910065,0.00661169181307915,0.0135109722132549,0.015898391512593
"Monster",0.0312027031417528,0.00397540790985072,0.0572089299120574,0.265517468755568,0.0198709379478101,0.0660180765070796,0.0563994164610911,0.0414417496893136,0.0123545508477444,0.00425150482789266,0.0218778983453211,0.00409786998808622,0.0308805482143732,0.00380838957409098,0.00291963000551723,0.00381862662507526,0.132375796732198,0.0687486057923957,0.0211334946371239,0.0191864288825138,0.0790611434315964,0.00976623158459531,0.00291314595189773,0.00274128424429083,0.019673134456892,0.00301901041122889,0.0115852536415842,0.00279378055946321,0.00135898092159587
"Levi's",0.0814826166855999,0.0347272516072123,0.0534603539898694,0.0253047562317159,0.0265274174407971,0.0179032725413837,0.042887656807672,0.143862170463275,0.00970457308527115,0.169050901210034,0.00404579003876191,0.000130710969867759,0.107712288142181,0.138155715129689,0.00387785422211489,0.00305194356531612,0.011840612565538,0.0229371053785053,0.00106197547448987,0.0290789582526176,0.00571819409947378,0.0113714277689553,0.00947369788510889,0.0147822161462251,0.00327158459806712,0.0120393438513486,0.00341497456070613,0.00621601756070667,0.00690861972749586
"Wrangler",0.0672258139890268,0.0601790993482149,0.0369157283350569,0.014498974465207,0.00611861503677463,0.00664873549967884,0.00859909009465439,0.163722596250961,0.0015816390465732,0.198030357720405,0.00230890863054661,0.00220476980963769,0.145665617291322,0.187057411353037,0.000847148308396349,0.00707660616354035,0.00229575398247268,0.00839682567997775,0.00860460817279015,0.026876085203631,0.00637913011008755,0.00796820650632519,0.013471029702606,0.007660306235825,0.00168710334825634,0.00109268863213059,0.00253052321918864,0.00281977066438945,0.00153685719928704
"McDonald's",0.00461127694984227,0.0175421186422725,0.0212303658409192,0.0137112672895762,0.135864686680135,0.041279093329098,0.0852081436228945,0.155532697202329,0.00726277126145251,0.0913971341218068,0.00475097890572552,0.0447457958789754,0.0148685819819791,0.188957447496016,0.00841565721116386,0.00347261535301676,0.0239230307884083,0.0101254316339223,0.0177071343251593,0.0487733721499658,0.0182046038309827,0.0106330528967628,0.00491536699553368,0.00716111861122785,0.00695984256334554,0.00405378254538147,0.00490441496576507,0.00345502346636662,0.000333193459975947
"Subway",0.00212779265029094,0.166792595423713,0.013151321318985,0.0281025564631455,0.0437023459644351,0.031976226435431,0.040263256022089,0.183293191379758,0.0105277327588547,0.149193959648153,0.0102437510658028,0.0173903266701426,0.00560756128367943,0.157942777715899,0.00451780388271963,0.00165719656643608,0.00907457370975404,0.0094951051755335,0.000436169068208664,0.0263884702155734,0.00478037472812179,0.000185623412095573,0.0358457867411767,0.00167979627299621,0.0100765320362408,0.00156746311581229,0.00135751328047773,0.00178085927630331,0.0308413377181717
"Bud Light",0.0344419267332822,0.0356407030501083,0.0374978320984773,0.0243927289591652,0.0229289309528891,0.0598769426916344,0.136865107294556,0.114253082921437,0.00282864732762518,0.116310069701997,0.0166913424968576,0.00296954270953999,0.0494601159659282,0.183405483963471,0.0023106437833135,0.00396501828683947,0.00484756978026902,0.00178066293874433,0.0136307617949032,0.0054398535318307,0.0141472894281354,0.0159562839757461,0.0477980172069896,0.0138053393733242,0.0119666335506197,0.00449069944427945,0.000298819098010024,0.0168237634992342,0.00517618744079361
"Yuengling",0.0142099737872838,0.0869591064653654,0.0595335154583422,0.0496038460358173,0.0963244164118708,0.0248544039162841,0.0871827930074443,0.0950977988701277,0.000694452912867819,0.213487982705662,0.0241573614357813,0.00420055224031145,0.00557113291299346,0.0848636981643226,0.00172097460332162,0.00552574711797155,0.015238721127849,0.00133442492376066,0.00180808229169102,0.013298720830135,0.0166372145241436,0.00436965703400683,0.049492769932604,0.00245966663566025,0.0033462439458021,0.00421007363912679,0.0155656965934115,0.00579050618903094,0.0124604662870107
"Jack Daniel's Whiskey",0.0264322867150132,0.0363153126566332,0.035981242516209,0.0187085204615436,0.010398956941184,0.0514284169690102,0.0517779708571808,0.0520949875381551,0.00874702046948815,0.0715768961870711,0.042733866909323,0.00157549920484348,0.0946178486769094,0.0373792014063043,0.00295462809890238,0.0443803083346197,0.0797196644451286,0.0686631550676321,0.00289742853499123,0.122608003883384,0.0256897499638428,0.0456725066721149,0.00154791874235033,0.0171810332381915,0.01005465120173,0.0022843538457769,0.021128716093594,0.00398841731403032,0.0114614370548433
"Crown Royal Whiskey",0.0296522185149076,0.0345587382837771,0.0150881594085327,0.0328957360787478,0.0305543982307644,0.0306711516686971,0.0702832603986767,0.074737891058606,0.0290996725936579,0.0705459761075695,0.0755617630941439,0.0153105985787856,0.0183597392386253,0.061676241486967,0.0051251622986046,0.0567462939095097,0.0737755297893549,0.047471682139986,0.0186089868479274,0.117046982915499,0.0340732797968326,0.0183412837142629,0.0194927071065824,0.00318142919667059,0.00108797420958163,0.00672103910124933,0.00539696174130693,0.00252990067752631,0.00140524181264688
"Grey Goose Vodka",0.162578279253606,0.010039553005981,0.0559342920707814,0.0165846725794134,0.0418721747652009,0.0637804631874199,0.0188609296352033,0.0626111189394371,0.0187736141380057,0.00899401602040152,0.0396223565300408,0.00249677486771537,0.00189367986232797,0.010307856369586,7.45196730054326e-05,0.162337196913474,0.0477727713140322,0.00899037556769734,0.0179235565120129,0.050086949671844,0.00219672091151815,0.0172991139607774,0.0341724752777619,0.00831719965865689,0.018996330732682,0.0170978200080024,0.0169065034712252,0.026293921566767,0.0571847635354231
"Absolut Vodka",0.0593319477842252,0.0291027980012565,0.068476615045149,0.0761721880400735,0.0398265183946705,0.0323586464404237,0.086289395584922,0.0869503082347769,0.0142202095066643,0.0492014362381677,0.0313453339712479,0.000988055199929185,0.00389182457354172,0.0507456877299708,0.0134751758607148,0.0578104695239355,0.0873430014201549,0.000148054144534364,0.000221200014895633,0.0693782201485676,0.00435456213157252,0.0414358112857813,0.0227262500510228,0.00287936328837857,0.0107357505832727,0.000994362354887293,0.0237941966239432,0.0230698176188478,0.0127328002044724
"Coach",0.136001114217221,0.0137083292030848,0.0139773954893158,0.0185278287903433,0.0549484473965584,0.0293954832958927,0.0598091355713808,0.107771819486316,0.0251770908077628,0.0191267380800743,0.0319436617270956,0.00808661331898926,0.0195986314743917,0.0725296345190223,0.00136629912687837,0.15441081550196,0.00181472659880046,0.00211931649463562,0.0295173959776579,0.0200223082520254,0.00151777803738602,0.0188450692646687,0.00204292712175735,0.0237244766620188,0.0243254501545408,0.0721076106089998,0.00164307675398439,0.0176458225967499,0.0182950034704884
"Rolex",0.123765044979159,0.0179578086876375,0.0381637075547688,0.0368171539022168,0.0139042990720263,0.0169620877261443,0.0133823843129852,0.149573932511886,0.090143559124149,0.0166032988930021,0.027235477931571,0.00512101095727327,0.00513193192388428,0.0373592391380113,0.00445656649739274,0.186259124536779,0.0388656130570613,0.00265971367994558,0.00477916901961732,0.0149018376226532,0.0289222120980151,0.00200054517591206,0.00580170110507896,0.00252503552579802,5.39993077460284e-05,0.0243949835332763,0.0123760944308016,0.0284673174826714,0.0514151502125368
"Kohl's",0.150976261278383,0.047310774613858,0.00165865258369822,0.0223402905761617,0.0470422516970194,0.0535029785823086,0.0537616850545099,0.114540473511422,0.0182026591610735,0.148922052732381,0.0223049375214215,0.00909306214010754,0.000667938606616523,0.128265375724093,0.000418739830092918,0.0472075225149629,0.00114992095113081,0.00358595603321015,0.0168512974333289,0.0297326987535167,0.00233341552664785,0.0091275179110519,0.0076719614390749,0.0160644853648562,0.0175057050950072,0.00234032137517687,0.00921683969158034,0.00268931000125974,0.0155149142960493
"Macy's",0.133502333943812,0.0364779132328831,0.0255525286563305,0.0281861440312791,0.0410982830434448,0.0847727156926544,0.0610371114117283,0.125277035397011,0.0185924686861181,0.0200854450754115,0.0187494590388147,0.00890657760630295,0.00145533064516296,0.141775824094501,0.0008419685469308,0.110065783462436,0.00893653471133905,0.0104233980248727,0.0102521261202463,0.0250461521287638,0.00183562942228623,0.00950171902805683,0.009347463790789,0.0170541817416077,0.0284140970116921,0.000885704152760813,0.0016870230898193,0.00143803684226035,0.0188010113706851
"Walmart",0.00351064690743932,0.0584833366226412,0.0172383515776218,0.0105513967465417,0.038789255331658,0.0163786485654952,0.0582780085956815,0.172172368430023,0.00694514234193929,0.159328495116343,0.00729679297404901,0.0628076541644469,0.0176517814582844,0.174394787947823,0.0455627704066504,0.00082400346371095,0.0166073421314825,0.00446782786438821,0.0232994647494907,0.0237001700006459,0.0305483361970749,0.00151217094525749,0.0134279195124346,0.000408186049247939,0.000323544040009145,0.0110624687641052,0.0070747269160059,0.000440516581251864,0.0169138855982562
"Target",0.052465221481239,0.0678033074082319,0.0114430301120413,0.0283350738599804,0.0497685475167744,0.0773481483928432,0.105153983667106,0.185624343304302,0.00772997338679752,0.127165400944005,0.00395763879779187,0.00791951329631983,0.00164343879755305,0.167415649790468,0.00437508298083092,0.00868397878273893,0.000284047268795897,0.00064195588614556,0.0220085757578003,0.0110083101586032,0.00717467810027133,0.00131381705820762,0.0111221870476927,0.000474241037819063,0.00741585308894693,0.00461285418007103,0.000352886170798462,0.00516426381308644,0.021593997912737
"Coca-Cola/Diet Coke",0.0119136067150635,0.0224112024724835,0.0137182783032669,0.11924098668833,0.126419569182432,0.0579961704978726,0.107539868008384,0.162005845932308,0.0117939212240292,0.083535360920127,0.0313173359893205,0.00296946672268686,0.00298631389608922,0.119118179269857,0.000415744982516836,0.0092817733263243,0.0334927193829166,0.00101571661880151,0.0175839081418078,0.00365215268413902,0.00387855984242103,0.00681741007236914,0.0120293087388477,0.000493163130225489,0.0115737054816415,0.0060015970683714,0.00871495458066299,0.00639593425873928,0.00568724586796488
"Dr. Pepper/Diet Dr. Pepper",0.00773633762278009,0.0205222761238428,0.0517014233995063,0.0834684097987045,0.120088364832454,0.0945172595788792,0.101652739610024,0.0970635761920785,0.0150944514610369,0.0400660662649807,0.120545337304703,0.00225653308529139,0.0019366237420375,0.00754583944146937,0.00641919442347053,0.0199917644798288,0.0835433323382482,0.0154283587787767,0.0255133124926424,0.019176698952982,0.00265068523625075,0.0155200278193817,0.00658736817546286,0.000982542483643576,0.0136996001241534,0.00245789682381142,0.00889160088852123,0.014757963227077,0.000184415297960799
"Apple",0.101447111842056,0.00266762213598366,0.0401021546267676,0.0324430982494782,0.020785678417817,0.0472948594790199,0.0968635135980105,0.169233180458102,0.0551071623165162,0.0109818055004737,0.0229003964058419,0.00545728862818722,0.0148916083686015,0.0202450153709186,0.00616801331805277,0.0574597262325861,0.0160489983202118,0.010625392434769,0.0224782822888891,0.0051035421821104,0.0206562503109266,0.00361753252137131,1.74157431269469e-05,0.00113568140978439,0.0915230483409673,0.00358209844645791,0.0106899400209549,0.00800998634870446,0.102463596683313
"Samsung",0.127214076486698,0.0103562337492284,0.0285465778527612,0.0345908922955399,0.0293508818256706,0.0749748152894719,0.0747917233426744,0.13147635701602,0.037575086404312,0.0143686448153476,0.0330366684568491,0.0115721642450158,0.015119372837852,0.060672157569472,0.000255096846145583,0.028896751840423,0.010105292459554,0.00952283528456821,0.0521297386881684,0.00560851552444317,0.0195049748285436,0.00683038205926702,0.0114312291750057,0.00570727753819892,0.0717170264788144,0.0066937967194079,0.00183187571690284,0.00482071798554554,0.0812988366680993
"Toyota",0.054094175510477,0.0352131638620474,0.0588684531453792,0.0340768449235566,0.0390865843187636,0.0452480953739358,0.0584753659643789,0.204228325249111,0.0151204018739224,0.112657558510736,0.0116517493737361,0.00138934735988906,0.0630457737965912,0.10219892145581,0.0113739942537732,0.011970720756679,0.00590699242225178,0.00223158400515114,0.0159440789996336,0.0115586447752779,0.00611953094278778,0.000653304326550795,0.0200973275406585,0.00518119337750258,0.0302495692088521,0.0106921088089967,0.00154599721370706,0.000820697140983325,0.0302994955088611
"Ford",0.0724183173663367,0.00341678007727983,0.0412855189727518,0.0014892855648819,0.0570598622303554,0.0266973311742389,0.0395614568511654,0.188673786239661,0.0178495554163424,0.10843905138209,0.00205436517749612,0.0114356386689433,0.147565378461784,0.0863097600090853,0.0159031711335737,0.0169307919084717,0.0241448013904907,0.00959584013177518,0.0252558362784897,0.0176905124523111,0.0265303778374492,0.00079020273520047,0.00322987237327186,0.0113815276104066,0.00864113594940984,0.00313113983149964,0.00863261729744172,7.03558088955812e-05,0.0238157296689011
"Verizon",0.0151251477588382,0.0146516312600416,0.00920133415456543,0.0242101943254858,0.0181708882784571,0.0258454592410931,0.0288568903585025,0.274838186512747,0.00990664690100229,0.0460194480251276,0.00966108195887818,0.0580745632200041,0.0371945405328906,0.160385964414843,0.0408088175589722,0.020509200458922,0.0290859679227654,0.00676167273954206,0.012693696309328,0.0125728171156455,0.0488377794477451,0.000122443231632244,0.00347800453336765,0.000549102447134702,0.0145169847659123,0.00408859600831785,0.00408196037040782,0.000462538659978766,0.0692884414878519
"AT&T",0.0136810303908515,0.0137923528792187,0.0209476930086961,0.00673838994970166,0.0273090277536031,0.026898392029125,0.0201396385760413,0.203552647421283,0.00143684998894839,0.050604742526623,0.014215962992218,0.0797672274158089,0.0311960506799092,0.203653033606225,0.0570029967956868,0.0114264165525333,0.0182186238963505,0.00791864478183648,0.0166664078182872,0.0240509708208868,0.0510511936990911,0.00365734398477483,0.0107886255273223,0.00164831794310154,0.0278101752146553,0.000527089101903866,0.00111404530224528,0.000959572590990922,0.0532265367520813
